shop_name,shop_description,shop_address,shop_phone,shop_latitude,shop_longitude,shop_shopping,shop_pickup
My Hamy Land Petshop,Pet store,"l. Dr. Saharjo No.321 G, RT.13/RW.2, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810", (021) 8299697,-6.228418699737473,106.84769536616396,1,1
Christin Petshop,Pet store,"Jl. Tebet Raya No.19, RT.20/RW.1, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810", (021) 8294149,-6.228496518031611,106.85151489230353,1,1
Tiny Paw Petshop,Pet store,"Jl. Bri Radio Dalam No.42A, RT.1/RW.1, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140", 0812-7839-2434,-6.254374574996437,106.78929432920474,1,1
Balini Petshop,Pet store,"Pasar Minggu, Jl. Kebagusan Raya No.75A, RT.13/RW.5, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620",0822-7221-6555,-6.320362768177625,106.82510424903798,1,1
Tail Story Petshop,Pet store,"Jl. Poltangan Raya No.5, RT.9/RW.5, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530",0817-6000-971,-6.294920550967569,106.84851271478507,1,1
Petshop Poncol,Pet store,"Jl. Poncol Jaya No.75, RT.12/RW.4, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710", 0895-3248-92182,-6.233119831401331,106.81865054147639,1,1
Pushi Petshop,Pet store,"Jalan Barito kios no.12-13, RT.1/RW.1, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",0852-7990-1422,-6.240416993951134,106.79274603398167,1,1
Catty Petshop and Care,Pet store,"Jl. Cikoko Timur No. 41 RT.003 RW.01 Pancoran Jakarta Selatan DKI Jakarta, 12770, Belakang Menara Saidah / Carefour MT. Haryono, RT.3/RW.1, Cikoko, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770",(021) 79196242,-6.244212591016365,106.8589221436987,1,1
Mueza Petshop,Pet store,"Jl pengadegan barat IV rt 05/ 06 No 1, RT.5/RW.6, Pengadegan, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770", 0811-8417-176,-6.246565692770671,106.85337380163503,1,1
Groovy Vetcare Clinic,Pet store,"Jl. Radio Dalam Raya No.49, RT.3/RW.15, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140",(021) 72800617,-6.257880243727643,106.78856145674763,1,1
